"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","previous"
"1125",37,"technician","married","unknown","yes",189,"no","no","cellular",1,"oct",238,1,2
"1126",38,"blue-collar","divorced","secondary","no",2998,"yes","no","unknown",11,"jun",91,1,0
"1127",77,"retired","married","secondary","no",610,"no","no","cellular",13,"aug",766,3,0
"1128",32,"management","single","unknown","no",787,"no","no","cellular",28,"jan",92,1,0
"1129",43,"technician","divorced","secondary","no",167,"no","no","cellular",4,"aug",211,3,0
"1130",36,"management","single","tertiary","no",243,"yes","no","cellular",7,"may",160,2,3
"1131",29,"management","married","tertiary","no",877,"no","no","cellular",3,"feb",166,3,0
"1132",32,"admin.","single","secondary","no",2817,"yes","no","cellular",21,"nov",195,1,0
"1133",41,"management","divorced","tertiary","no",4567,"yes","yes","cellular",16,"jul",106,1,0
"1134",26,"services","single","secondary","no",127,"yes","yes","cellular",23,"jul",85,3,0
"1135",34,"blue-collar","married","primary","no",176,"no","no","cellular",24,"jul",78,1,0
"1136",57,"retired","married","tertiary","yes",0,"yes","yes","unknown",28,"may",648,1,0
"1137",36,"services","single","secondary","no",1482,"yes","no","cellular",18,"nov",177,2,1
"1138",42,"blue-collar","married","secondary","no",3052,"yes","no","unknown",27,"may",32,1,0
"1139",35,"technician","divorced","secondary","no",56,"no","no","cellular",29,"aug",24,12,0
"1140",52,"entrepreneur","divorced","primary","no",278,"yes","no","unknown",7,"may",688,2,0
"1141",36,"management","single","tertiary","no",3875,"yes","no","unknown",27,"may",21,5,0
"1142",46,"technician","married","secondary","no",-337,"yes","no","unknown",27,"may",112,1,0
"1143",60,"management","divorced","tertiary","yes",366,"no","no","cellular",3,"jun",593,1,0
"1144",57,"housemaid","married","primary","no",501,"yes","yes","cellular",7,"aug",59,2,0
"1145",48,"management","married","tertiary","no",998,"yes","no","cellular",29,"jan",121,3,0
"1146",59,"self-employed","married","primary","no",0,"yes","no","telephone",28,"jul",97,2,0
"1147",39,"management","married","tertiary","no",246,"no","no","cellular",11,"aug",86,2,0
"1148",44,"blue-collar","married","secondary","no",-182,"yes","yes","cellular",14,"may",10,10,0
"1149",27,"management","single","tertiary","no",446,"no","no","cellular",23,"jun",205,3,0
"1150",59,"retired","married","secondary","no",1173,"no","no","unknown",9,"jun",77,2,0
"1151",36,"technician","divorced","secondary","no",5957,"yes","no","cellular",18,"nov",138,2,0
"1152",44,"admin.","married","secondary","yes",205,"no","no","cellular",3,"nov",289,1,0
"1153",50,"admin.","married","secondary","no",0,"no","no","cellular",4,"aug",86,4,0
"1154",41,"management","divorced","tertiary","no",369,"yes","no","telephone",22,"aug",9,3,0
"1155",47,"admin.","married","secondary","no",1934,"no","yes","cellular",14,"may",225,1,1
"1156",32,"technician","single","tertiary","no",259,"no","no","cellular",22,"jul",407,4,0
"1157",38,"blue-collar","married","secondary","no",284,"yes","yes","unknown",3,"jun",1030,6,0
"1158",55,"blue-collar","married","unknown","no",23,"no","no","cellular",13,"aug",123,2,0
"1159",38,"management","single","tertiary","no",1373,"no","no","cellular",22,"oct",119,4,0
"1160",31,"management","single","tertiary","no",62,"yes","no","cellular",18,"may",175,1,5
"1161",38,"blue-collar","divorced","secondary","no",157,"no","no","unknown",9,"jun",299,5,0
"1162",29,"unemployed","single","tertiary","no",991,"no","no","cellular",5,"feb",563,1,0
"1163",55,"services","married","secondary","no",186,"yes","yes","unknown",9,"may",241,1,0
"1164",35,"unemployed","married","secondary","no",977,"yes","no","cellular",4,"may",52,4,1
"1165",40,"self-employed","single","tertiary","no",2893,"no","no","cellular",2,"jun",76,3,0
"1166",34,"blue-collar","married","secondary","no",1897,"yes","yes","cellular",19,"nov",441,1,0
"1167",32,"technician","single","tertiary","yes",5514,"no","no","cellular",22,"apr",319,1,1
"1168",33,"blue-collar","married","secondary","no",889,"yes","no","unknown",18,"sep",13,1,6
"1169",33,"management","married","tertiary","yes",273,"yes","no","unknown",16,"may",803,1,0
"1170",37,"admin.","married","secondary","no",1193,"no","no","cellular",12,"may",396,2,0
"1171",58,"management","married","tertiary","no",2729,"no","no","unknown",18,"jun",188,1,0
"1172",36,"admin.","single","secondary","no",0,"no","no","cellular",20,"apr",637,1,0
"1173",42,"blue-collar","married","secondary","no",230,"yes","no","unknown",5,"jun",175,7,0
"1174",34,"technician","single","secondary","no",2729,"yes","no","cellular",6,"apr",945,1,1
"1175",35,"management","married","tertiary","no",317,"yes","no","unknown",23,"may",162,3,0
"1176",60,"housemaid","married","primary","no",517,"no","no","unknown",12,"jun",1178,3,0
"1177",50,"management","married","tertiary","no",-470,"yes","no","cellular",8,"may",506,2,3
"1178",28,"self-employed","single","tertiary","yes",4579,"no","no","cellular",12,"jan",409,2,0
"1179",27,"blue-collar","divorced","secondary","no",1,"yes","no","cellular",14,"jul",116,3,0
"1180",37,"management","married","tertiary","yes",5106,"no","no","cellular",30,"apr",244,1,0
"1181",31,"technician","married","tertiary","yes",636,"yes","no","cellular",4,"may",352,4,0
"1182",34,"services","married","secondary","yes",1076,"no","no","cellular",12,"may",152,1,6
"1183",38,"management","married","tertiary","no",126,"yes","no","unknown",21,"may",164,2,0
"1184",32,"self-employed","married","secondary","no",-33,"yes","no","unknown",28,"may",234,3,0
"1185",37,"technician","married","secondary","no",430,"no","no","cellular",27,"aug",154,4,0
"1186",33,"admin.","married","secondary","no",-6,"yes","no","unknown",7,"may",566,2,0
"1187",71,"technician","married","tertiary","no",383,"no","no","cellular",27,"oct",327,2,3
"1188",27,"technician","married","secondary","no",130,"yes","no","cellular",7,"may",265,3,0
"1189",38,"blue-collar","married","primary","no",2569,"no","no","unknown",9,"jun",172,1,0
"1190",34,"technician","single","secondary","no",201,"no","no","cellular",22,"jul",257,2,0
"1191",54,"retired","divorced","tertiary","yes",0,"no","no","unknown",13,"may",618,1,0
"1192",30,"blue-collar","married","secondary","no",6,"yes","no","cellular",28,"jan",241,3,0
"1193",35,"entrepreneur","single","secondary","no",475,"no","yes","cellular",21,"jul",936,4,0
"1194",33,"blue-collar","single","secondary","no",706,"yes","no","cellular",7,"apr",329,1,1
"1195",36,"management","married","secondary","no",1825,"yes","no","cellular",14,"may",24,1,1
"1196",59,"self-employed","married","tertiary","no",185,"no","no","cellular",22,"jun",177,5,1
"1197",72,"blue-collar","married","primary","no",4415,"no","no","telephone",13,"oct",120,1,0
"1198",64,"management","married","tertiary","no",679,"no","no","telephone",22,"apr",135,3,0
"1199",53,"technician","divorced","secondary","no",320,"no","no","cellular",9,"jul",175,1,0
"1200",35,"management","single","tertiary","no",2988,"yes","no","cellular",25,"may",179,1,0
"1201",58,"self-employed","married","secondary","no",1407,"yes","no","unknown",30,"may",58,1,0
"1202",40,"technician","married","secondary","no",1270,"no","no","cellular",17,"apr",342,2,0
"1203",41,"services","divorced","secondary","no",654,"yes","no","cellular",13,"may",139,2,0
"1204",48,"retired","married","primary","no",5173,"yes","no","unknown",18,"jun",88,8,0
"1205",44,"entrepreneur","married","tertiary","no",3463,"yes","yes","cellular",28,"aug",210,3,0
"1206",39,"blue-collar","married","unknown","no",0,"no","no","cellular",2,"feb",731,1,3
"1207",61,"management","married","tertiary","yes",6016,"no","no","cellular",2,"feb",670,3,0
"1208",36,"entrepreneur","married","primary","no",177,"yes","no","unknown",12,"may",63,5,0
"1209",28,"management","married","tertiary","no",3694,"no","yes","cellular",8,"jul",70,2,0
"1210",58,"retired","single","secondary","no",1640,"no","yes","cellular",4,"feb",72,6,4
"1211",60,"admin.","divorced","secondary","no",174,"yes","no","cellular",15,"may",241,1,1
"1212",66,"admin.","single","secondary","no",10177,"no","no","cellular",5,"may",272,4,0
"1213",36,"management","single","tertiary","yes",490,"no","no","cellular",28,"aug",207,8,1
"1214",49,"self-employed","married","secondary","no",2576,"yes","no","cellular",15,"may",64,6,0
"1215",40,"services","married","secondary","no",0,"no","no","unknown",12,"jun",543,2,0
"1216",23,"technician","single","secondary","no",598,"no","no","cellular",30,"apr",166,1,0
"1217",29,"management","single","tertiary","no",15459,"no","no","cellular",26,"may",245,3,7
"1218",44,"blue-collar","married","primary","no",271,"yes","yes","unknown",9,"may",94,1,0
"1219",54,"unknown","married","unknown","no",2508,"no","no","unknown",20,"jun",34,8,0
"1220",47,"blue-collar","married","primary","no",320,"no","no","telephone",30,"jul",203,2,0
"1221",33,"admin.","married","tertiary","no",640,"no","no","cellular",24,"jul",318,1,0
"1222",30,"self-employed","married","secondary","no",1772,"yes","no","cellular",13,"apr",158,4,0
"1223",27,"admin.","single","secondary","no",15,"no","yes","cellular",21,"jul",177,1,0
"1224",49,"management","divorced","tertiary","no",2370,"yes","yes","unknown",17,"nov",56,1,2
"1225",27,"services","single","secondary","no",201,"yes","no","unknown",4,"jun",172,2,0
"1226",51,"blue-collar","married","secondary","no",160,"yes","no","cellular",7,"may",136,1,1
"1227",32,"admin.","divorced","secondary","no",5,"yes","yes","cellular",18,"may",82,3,2
"1228",30,"blue-collar","single","secondary","no",75,"yes","no","unknown",16,"may",123,1,0
"1229",33,"admin.","married","secondary","no",4902,"yes","no","cellular",20,"nov",110,1,0
"1230",27,"blue-collar","single","primary","no",-79,"yes","no","unknown",30,"may",385,5,0
"1231",75,"retired","divorced","secondary","yes",1341,"no","no","cellular",18,"dec",415,7,0
"1232",37,"services","divorced","secondary","no",490,"yes","no","cellular",2,"feb",73,1,0
"1233",36,"technician","single","secondary","no",1521,"yes","no","unknown",16,"jun",243,2,0
"1234",37,"blue-collar","married","secondary","no",131,"yes","no","unknown",9,"may",137,2,0
"1235",35,"management","married","tertiary","no",8,"yes","no","unknown",23,"may",55,4,0
"1236",32,"services","married","secondary","no",-632,"yes","yes","cellular",20,"apr",18,5,0
"1237",32,"admin.","single","secondary","no",116,"no","yes","cellular",16,"jul",255,2,0
"1238",35,"admin.","married","primary","no",189,"yes","no","cellular",11,"may",95,1,0
"1239",31,"blue-collar","married","primary","no",2,"yes","yes","cellular",10,"jul",112,1,0
"1240",28,"blue-collar","single","secondary","no",4229,"yes","yes","cellular",5,"may",205,2,0
"1241",27,"services","married","secondary","no",54,"yes","no","cellular",18,"may",97,1,1
"1242",22,"student","single","unknown","no",549,"no","no","cellular",2,"sep",154,1,0
"1243",35,"blue-collar","married","primary","no",298,"yes","no","cellular",13,"may",135,2,2
"1244",69,"retired","married","primary","no",579,"no","no","cellular",14,"aug",230,1,0
"1245",37,"entrepreneur","single","tertiary","no",1467,"yes","yes","cellular",17,"nov",349,1,0
"1246",45,"admin.","single","secondary","no",0,"yes","no","cellular",8,"may",38,1,0
"1247",47,"management","married","tertiary","no",109,"yes","no","cellular",22,"jul",268,1,0
"1248",52,"management","married","tertiary","no",-11,"yes","no","cellular",11,"may",94,4,0
"1249",33,"services","married","secondary","no",90,"yes","no","cellular",28,"jul",263,2,0
"1250",60,"blue-collar","married","primary","yes",493,"no","no","cellular",18,"aug",671,4,0
"1251",33,"management","divorced","secondary","no",1897,"yes","yes","unknown",2,"jun",197,1,0
"1252",44,"admin.","married","secondary","no",2403,"yes","no","cellular",28,"jan",180,2,0
"1253",38,"entrepreneur","married","secondary","no",868,"no","no","cellular",20,"nov",452,2,0
"1254",54,"entrepreneur","married","secondary","no",653,"yes","no","unknown",15,"may",352,1,0
"1255",32,"unemployed","divorced","primary","no",0,"no","no","cellular",15,"jul",175,4,0
"1256",33,"technician","married","secondary","no",0,"yes","yes","cellular",19,"nov",163,2,0
"1257",55,"services","divorced","secondary","no",218,"yes","no","unknown",29,"may",200,2,0
"1258",51,"blue-collar","married","primary","no",5050,"no","yes","unknown",16,"jun",75,7,0
"1259",48,"blue-collar","married","secondary","no",741,"yes","no","cellular",16,"apr",227,1,0
"1260",37,"services","single","secondary","no",1050,"yes","no","cellular",3,"feb",586,3,0
"1261",33,"services","single","secondary","no",-56,"no","yes","cellular",10,"jul",119,5,0
"1262",30,"blue-collar","married","primary","no",1,"yes","yes","telephone",22,"jul",80,2,0
"1263",43,"blue-collar","married","primary","no",-98,"yes","yes","cellular",12,"may",112,2,3
"1264",49,"technician","married","secondary","no",4667,"yes","no","unknown",19,"may",130,2,0
"1265",54,"unemployed","married","primary","no",541,"yes","no","cellular",3,"feb",237,3,0
"1266",31,"unemployed","married","tertiary","no",7744,"no","no","cellular",26,"aug",377,8,0
"1267",54,"unknown","married","unknown","yes",895,"no","no","cellular",7,"oct",335,1,0
"1268",36,"unemployed","married","secondary","no",-129,"yes","no","cellular",29,"jul",121,3,0
"1269",30,"admin.","married","secondary","no",0,"no","no","cellular",15,"jul",127,5,0
"1270",27,"technician","single","secondary","yes",158,"no","no","unknown",1,"jul",650,2,0
"1271",30,"admin.","married","secondary","no",122,"yes","no","unknown",16,"may",107,1,0
"1272",30,"blue-collar","married","secondary","no",673,"yes","no","unknown",20,"may",610,2,0
"1273",35,"technician","divorced","secondary","no",0,"no","no","cellular",25,"aug",124,4,0
"1274",33,"services","divorced","secondary","no",411,"yes","no","unknown",8,"may",216,1,0
"1275",43,"blue-collar","divorced","primary","no",-97,"yes","yes","cellular",31,"jul",747,4,0
"1276",41,"blue-collar","married","secondary","no",-217,"yes","no","cellular",11,"may",313,1,3
"1277",41,"management","divorced","tertiary","yes",5037,"no","no","cellular",23,"apr",252,9,5
"1278",46,"admin.","divorced","secondary","yes",2232,"no","no","cellular",13,"feb",121,1,0
"1279",54,"blue-collar","married","secondary","no",-932,"yes","no","unknown",7,"may",799,1,0
"1280",32,"management","married","tertiary","no",913,"yes","no","cellular",23,"jun",883,1,4
"1281",30,"technician","single","tertiary","no",236,"yes","no","unknown",16,"may",197,1,0
"1282",40,"entrepreneur","married","primary","no",0,"yes","no","cellular",11,"jul",271,2,0
"1283",30,"blue-collar","married","primary","no",2581,"no","no","unknown",12,"may",221,2,0
"1284",27,"admin.","married","secondary","no",639,"no","yes","cellular",14,"jul",243,3,0
"1285",41,"blue-collar","married","primary","no",849,"yes","no","unknown",15,"may",72,1,0
"1286",54,"services","married","secondary","no",386,"yes","no","cellular",2,"aug",155,2,0
"1287",32,"management","single","tertiary","no",1218,"yes","no","telephone",28,"jan",70,2,0
"1288",31,"management","married","tertiary","yes",2603,"yes","no","cellular",11,"feb",280,4,0
"1289",42,"blue-collar","married","secondary","no",-921,"yes","no","unknown",26,"may",115,2,0
"1290",48,"admin.","married","primary","no",607,"no","no","unknown",20,"jun",29,2,0
"1291",34,"blue-collar","married","primary","no",79,"yes","no","cellular",14,"may",406,2,0
"1292",55,"technician","divorced","secondary","no",61,"yes","yes","cellular",25,"aug",113,3,0
"1293",49,"technician","married","secondary","no",1091,"no","no","telephone",30,"jul",47,2,0
"1294",46,"management","divorced","tertiary","no",743,"no","no","unknown",5,"jun",36,2,0
"1295",47,"entrepreneur","married","unknown","no",209,"yes","no","unknown",6,"may",135,2,0
"1296",24,"management","single","tertiary","no",172,"no","no","cellular",3,"jul",67,2,0
"1297",58,"entrepreneur","married","secondary","no",2,"no","no","unknown",16,"jun",684,1,0
"1298",32,"management","single","tertiary","yes",41,"no","no","cellular",21,"aug",686,5,0
"1299",25,"student","single","secondary","no",1116,"yes","no","cellular",2,"mar",170,3,0
"1300",49,"blue-collar","married","secondary","no",-55,"no","no","unknown",17,"jun",150,3,0
"1301",59,"retired","divorced","secondary","yes",5845,"no","no","cellular",14,"may",1060,2,0
"1302",30,"management","single","tertiary","no",329,"yes","no","unknown",6,"jun",122,16,0
"1303",46,"blue-collar","married","secondary","no",494,"yes","no","unknown",26,"may",724,1,0
"1304",42,"management","married","unknown","yes",1519,"no","no","cellular",19,"oct",230,1,1
"1305",37,"entrepreneur","married","tertiary","no",2685,"no","no","unknown",20,"jun",187,2,0
"1306",44,"blue-collar","married","primary","no",-14,"yes","yes","unknown",19,"may",179,4,0
"1307",49,"services","married","secondary","no",5673,"no","yes","cellular",4,"aug",357,3,0
"1308",41,"blue-collar","married","secondary","no",1459,"no","no","unknown",5,"jun",82,1,0
"1309",48,"technician","married","tertiary","no",0,"no","no","telephone",26,"aug",176,15,0
"1310",31,"management","married","secondary","no",625,"yes","no","cellular",7,"apr",424,1,1
"1311",37,"student","married","unknown","no",0,"no","no","unknown",18,"jun",115,1,0
"1312",51,"services","married","secondary","no",867,"yes","no","cellular",3,"feb",177,2,3
"1313",80,"retired","married","secondary","yes",8304,"no","no","telephone",9,"jun",712,1,12
"1314",32,"management","single","tertiary","no",151,"yes","no","unknown",6,"may",118,1,0
"1315",48,"services","married","primary","no",-583,"yes","no","unknown",2,"jun",25,7,0
"1316",49,"blue-collar","married","tertiary","no",1784,"no","no","unknown",12,"jun",753,1,0
"1317",30,"management","married","tertiary","no",3134,"yes","no","cellular",17,"jul",124,1,0
"1318",27,"self-employed","single","secondary","no",49,"yes","no","cellular",30,"jan",208,2,0
"1319",34,"technician","married","secondary","no",-346,"no","no","cellular",13,"aug",136,4,0
"1320",49,"management","married","secondary","yes",1623,"yes","no","cellular",19,"nov",1081,2,0
"1321",48,"management","married","tertiary","no",60,"no","no","telephone",7,"may",376,2,7
"1322",40,"services","married","secondary","no",17,"no","no","cellular",4,"jun",78,1,0
"1323",38,"blue-collar","married","secondary","no",2008,"yes","no","cellular",18,"nov",354,1,0
"1324",46,"blue-collar","married","primary","no",91,"yes","no","cellular",6,"may",29,1,2
"1325",41,"entrepreneur","married","tertiary","no",171,"yes","no","cellular",19,"nov",209,1,4
"1326",28,"management","single","tertiary","no",1027,"yes","no","cellular",14,"may",433,1,0
"1327",51,"services","married","unknown","no",5801,"yes","no","unknown",29,"may",147,2,0
"1328",33,"blue-collar","divorced","primary","no",142,"yes","no","telephone",11,"may",41,2,5
"1329",26,"management","single","tertiary","no",205,"no","no","unknown",26,"may",111,1,0
"1330",34,"admin.","single","secondary","no",852,"no","no","cellular",14,"apr",108,2,0
"1331",27,"blue-collar","married","secondary","no",-584,"yes","no","cellular",7,"may",411,2,0
"1332",42,"self-employed","married","secondary","no",97,"no","no","cellular",10,"jul",108,2,0
"1333",45,"admin.","married","secondary","yes",204,"yes","no","cellular",3,"jun",224,2,0
"1334",31,"technician","single","secondary","no",628,"yes","no","unknown",12,"may",1083,2,0
"1335",32,"management","single","tertiary","yes",311,"no","no","unknown",12,"may",757,2,0
"1336",39,"blue-collar","married","primary","no",1564,"no","no","unknown",17,"jun",57,1,0
"1337",26,"blue-collar","single","secondary","no",856,"yes","yes","cellular",30,"jul",95,5,0
"1338",40,"management","single","tertiary","no",1509,"no","no","cellular",15,"mar",144,2,1
"1339",52,"services","married","secondary","no",-888,"no","no","cellular",16,"jul",135,1,0
"1340",40,"technician","single","tertiary","no",226,"no","no","cellular",15,"jan",176,2,0
"1341",48,"technician","married","secondary","no",127,"no","yes","cellular",7,"aug",524,5,0
"1342",31,"services","married","secondary","no",413,"yes","no","unknown",13,"may",65,1,0
"1343",27,"admin.","married","secondary","yes",710,"yes","yes","cellular",6,"may",653,1,2
"1344",47,"technician","married","secondary","yes",1233,"yes","no","unknown",11,"sep",91,1,2
"1345",28,"management","single","secondary","yes",171,"no","no","cellular",10,"mar",93,1,0
"1346",40,"management","divorced","tertiary","no",69,"yes","no","cellular",6,"may",503,2,2
"1347",34,"admin.","married","secondary","no",1499,"yes","no","cellular",13,"apr",186,1,2
"1348",29,"self-employed","married","tertiary","no",751,"yes","no","unknown",23,"may",121,2,0
"1349",36,"management","married","tertiary","no",61,"no","yes","cellular",19,"aug",452,2,0
"1350",83,"retired","married","primary","yes",425,"no","no","telephone",22,"jun",883,1,1
"1351",55,"services","divorced","primary","no",2923,"yes","no","unknown",15,"may",104,2,0
"1352",43,"management","divorced","tertiary","no",99,"no","no","cellular",29,"jan",24,3,0
"1353",23,"student","single","secondary","no",1021,"no","no","telephone",19,"jun",79,9,0
"1354",44,"technician","married","tertiary","no",1146,"no","no","cellular",4,"jul",178,2,0
"1355",58,"blue-collar","married","primary","no",781,"yes","no","cellular",15,"may",74,2,0
"1356",29,"admin.","single","secondary","no",1448,"no","no","cellular",10,"mar",217,1,7
"1357",30,"management","single","tertiary","no",604,"no","yes","cellular",2,"feb",475,1,0
"1358",29,"admin.","single","secondary","no",-194,"yes","no","cellular",7,"may",127,1,0
"1359",41,"technician","married","secondary","no",0,"no","no","cellular",11,"mar",101,1,0
"1360",35,"housemaid","married","primary","no",0,"yes","no","cellular",14,"jul",340,3,0
"1361",31,"technician","single","secondary","no",1014,"yes","no","cellular",23,"jul",158,4,0
"1362",27,"admin.","single","tertiary","no",73,"no","no","cellular",29,"jan",242,1,0
"1363",47,"services","married","secondary","no",2597,"yes","no","unknown",16,"may",323,1,0
"1364",53,"self-employed","married","tertiary","no",2627,"yes","yes","unknown",16,"jun",18,30,0
"1365",34,"management","married","tertiary","no",1906,"yes","no","cellular",14,"jul",68,3,0
"1366",34,"blue-collar","married","primary","no",-319,"yes","yes","cellular",9,"jul",134,4,0
"1367",36,"management","married","tertiary","no",-296,"yes","no","cellular",14,"may",113,3,0
"1368",40,"technician","married","secondary","no",169,"yes","no","cellular",18,"aug",43,4,0
"1369",37,"self-employed","single","tertiary","no",556,"no","no","unknown",17,"jun",200,2,0
"1370",65,"retired","divorced","unknown","no",300,"no","no","cellular",2,"aug",245,2,0
"1371",53,"technician","divorced","secondary","no",751,"yes","no","unknown",16,"may",343,4,0
"1372",28,"technician","single","secondary","no",126,"no","no","cellular",3,"mar",229,1,0
"1373",33,"technician","divorced","tertiary","no",-386,"yes","no","unknown",23,"may",530,1,0
"1374",56,"blue-collar","married","primary","no",379,"no","no","cellular",13,"aug",58,5,0
"1375",45,"self-employed","married","secondary","no",706,"no","no","cellular",30,"apr",78,2,1
"1376",39,"technician","married","secondary","no",9121,"no","no","unknown",5,"jun",147,1,0
"1377",28,"management","single","tertiary","no",1466,"yes","no","cellular",25,"jul",40,1,0
"1378",36,"blue-collar","married","primary","no",0,"yes","no","cellular",18,"nov",618,2,0
"1379",41,"blue-collar","married","primary","no",951,"yes","no","cellular",20,"apr",23,4,0
"1380",46,"admin.","married","secondary","yes",368,"no","no","cellular",20,"aug",293,1,4
"1381",41,"blue-collar","married","secondary","no",121,"yes","no","cellular",13,"may",16,6,5
"1382",59,"services","married","secondary","no",204,"no","no","cellular",23,"jul",286,2,0
"1383",24,"admin.","married","secondary","no",299,"yes","no","cellular",6,"may",209,1,1
"1384",34,"management","married","tertiary","no",4170,"yes","no","unknown",21,"may",935,1,0
"1385",40,"blue-collar","married","primary","no",-335,"yes","no","unknown",27,"may",260,1,0
"1386",42,"admin.","married","secondary","no",3165,"yes","no","unknown",16,"jun",298,4,0
"1387",50,"services","married","secondary","no",254,"yes","no","cellular",15,"apr",397,2,1
"1388",25,"management","single","tertiary","no",553,"yes","no","cellular",17,"sep",113,4,1
"1389",51,"services","divorced","secondary","no",518,"yes","no","telephone",17,"nov",76,1,0
"1390",50,"management","married","tertiary","no",85,"no","yes","cellular",1,"jun",141,1,0
"1391",37,"blue-collar","married","unknown","no",603,"yes","no","unknown",23,"may",773,2,0
"1392",21,"services","single","secondary","no",361,"no","no","telephone",5,"jun",329,1,1
"1393",52,"blue-collar","married","secondary","no",-98,"yes","no","unknown",7,"may",423,1,0
"1394",55,"retired","married","primary","no",4424,"no","no","cellular",5,"aug",67,4,0
"1395",26,"technician","single","secondary","no",2610,"yes","yes","unknown",2,"jun",626,1,0
"1396",38,"technician","married","tertiary","yes",3234,"no","no","cellular",18,"nov",578,2,0
"1397",32,"blue-collar","married","secondary","no",687,"yes","no","unknown",9,"may",61,1,0
"1398",31,"blue-collar","married","secondary","no",631,"yes","no","unknown",23,"may",248,4,0
"1399",34,"technician","single","secondary","no",341,"no","yes","cellular",29,"jan",136,1,3
"1400",33,"technician","single","tertiary","no",316,"no","no","cellular",21,"aug",126,3,0
"1401",35,"technician","married","secondary","no",2,"no","no","telephone",28,"jan",653,3,0
"1402",44,"management","married","unknown","no",415,"yes","no","telephone",14,"may",7,7,0
"1403",48,"management","divorced","tertiary","no",507,"yes","no","cellular",9,"apr",528,1,0
"1404",29,"blue-collar","married","secondary","no",912,"yes","no","cellular",13,"may",785,1,0
"1405",50,"management","married","tertiary","no",0,"no","no","cellular",9,"jul",243,5,0
"1406",37,"blue-collar","married","primary","no",37,"yes","no","cellular",13,"may",24,2,1
"1407",44,"admin.","single","secondary","no",2524,"no","no","unknown",19,"jun",82,1,0
"1408",36,"unemployed","single","tertiary","no",9019,"yes","no","unknown",11,"jun",952,3,0
"1409",49,"blue-collar","divorced","unknown","no",39,"yes","no","cellular",13,"may",27,5,0
"1410",31,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",143,1,0
"1411",49,"technician","divorced","secondary","no",265,"yes","no","unknown",12,"may",274,6,0
"1412",35,"blue-collar","single","secondary","yes",0,"yes","no","cellular",16,"apr",1174,1,4
"1413",57,"admin.","divorced","unknown","no",4012,"no","no","cellular",20,"nov",915,1,0
"1414",42,"blue-collar","married","primary","no",1520,"yes","no","cellular",5,"feb",115,1,0
"1415",36,"blue-collar","divorced","secondary","no",-140,"yes","no","unknown",26,"may",222,2,0
"1416",75,"retired","divorced","primary","no",852,"no","no","cellular",15,"mar",341,1,0
"1417",38,"blue-collar","single","secondary","no",578,"yes","no","unknown",21,"may",112,2,0
"1418",40,"blue-collar","married","primary","no",0,"yes","no","unknown",6,"may",64,2,0
"1419",38,"services","single","secondary","yes",2253,"yes","no","cellular",13,"may",937,3,0
"1420",34,"management","single","tertiary","no",1171,"yes","no","cellular",10,"jul",129,1,0
"1421",29,"technician","single","tertiary","no",452,"yes","no","cellular",11,"may",59,1,0
"1422",28,"admin.","married","secondary","no",-97,"yes","no","cellular",29,"jan",79,1,2
"1423",79,"retired","married","secondary","no",4738,"no","no","telephone",9,"jul",151,5,0
"1424",51,"admin.","divorced","secondary","no",467,"yes","no","unknown",19,"may",83,1,0
"1425",32,"student","single","tertiary","no",0,"no","no","cellular",6,"aug",101,5,6
"1426",36,"management","married","tertiary","yes",495,"no","no","cellular",5,"aug",157,3,2
"1427",38,"entrepreneur","married","secondary","no",157,"no","yes","cellular",15,"may",57,11,1
"1428",49,"self-employed","married","secondary","no",358,"yes","yes","unknown",13,"may",176,3,0
"1429",42,"services","married","secondary","no",292,"yes","no","cellular",11,"may",222,3,0
"1430",43,"blue-collar","married","primary","no",7343,"yes","no","unknown",2,"jun",217,4,0
"1431",34,"blue-collar","married","secondary","no",-563,"yes","no","unknown",26,"may",252,1,0
"1432",59,"retired","single","secondary","yes",351,"yes","no","unknown",27,"may",1063,5,0
"1433",35,"unknown","married","primary","no",365,"no","no","cellular",29,"aug",41,2,0
"1434",33,"blue-collar","single","secondary","no",13494,"yes","no","unknown",20,"jun",27,25,0
"1435",34,"admin.","single","secondary","no",846,"yes","no","cellular",17,"apr",758,2,0
"1436",64,"retired","married","secondary","yes",1574,"no","no","telephone",29,"jul",301,3,0
"1437",34,"entrepreneur","married","tertiary","no",-28,"yes","no","cellular",16,"jul",574,1,0
"1438",77,"retired","married","tertiary","yes",0,"no","no","cellular",16,"oct",847,1,1
"1439",57,"retired","married","primary","no",2927,"no","yes","telephone",30,"jul",78,5,0
"1440",30,"blue-collar","married","secondary","no",501,"yes","yes","unknown",27,"may",514,1,0
"1441",56,"housemaid","divorced","primary","yes",1238,"no","no","unknown",5,"jun",1558,1,0
"1442",49,"unknown","married","unknown","no",301,"no","no","cellular",14,"aug",789,2,0
"1443",73,"retired","married","primary","no",1388,"no","no","cellular",20,"jul",146,3,3
"1444",39,"technician","single","secondary","no",102,"yes","no","cellular",14,"aug",272,2,0
"1445",57,"technician","divorced","primary","no",13,"yes","no","cellular",8,"may",323,2,2
"1446",32,"self-employed","married","secondary","no",413,"yes","no","cellular",11,"jul",712,2,0
"1447",32,"technician","single","tertiary","yes",4665,"yes","no","unknown",21,"may",860,2,0
